Delay    PID    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst 
4          0          2         37         10         75        112        114         37         86         72         78         16         53         86         73         10         51          9         40         70 
3          1         33         15         66         15         98         33         62         11         60         77         79         88         10         33         35        114         34         10         84 
2          2         22          9          3         39         90         68         61         84         14        106         18        107         42         45         97         41         83         49        105 
1          3         42          3         99         68        105        101         80         31         39         95         27         12         16         79         14        111         89        106         13 
4          4         83         16        110          9         67        105         82         24         60         68         93         55         76         35         79         59         83         45         38 
1          5         34         51         64         32         26         82         54          6         30         93         54         52        109         80         98        107        111         71         25 
0          6         16         74         26         37         91         55         64         53         71         35        114         93        103          8        100         61         31         46        102 
0          7         60         41        105         24         37         99         21         50          2         93         36         13         53         59         65         86         16         67         90 
3          8         39         41          8         42        106         91         23         41         67         29         82         19         75        107         55         49         98        105        110 
1          9         73         52         40         76         99         74         41          8         50         12         81          9         43        119         25        119         21         10         25 
1          10         66         61         86         91          7         63         20         60         11         81         24         20         96        100        104         60        118         63         44 
3          11         25         80          2         15         37         23         84         75         74         90        107         76         83        118         38         16         23        102         39 
1          12         96         52        113         77         24         52         82         74        113         89        113         86         87        110         49         40         53         23         51 
4          13         76         84        102         67         79        119        104         28         45         11         44         37         66         96        119        118         50        109          5 
3          14         42        114         57          7          2         83         36         23         71        103        112         27         89         30         75        117         82         75         57 
4          15         13         35         89         88         81         30         31         55        100         71         18         69        117         39         24         77         12         53        112 
0          16         27         18        103         38         57         68         43         97         37         37         98         58         49        114         18         10         68         64         24 
3          17         76        118          5          4         69         23         37          7         79        105         97         71         90         74         59         67         52         59         78 
0          18         25         59         48        111         67         94        111         55         15         73         73         77        118         81         58         22         96        108         25 
0          19        100        111         15         32         25         70         72        113         88         46         93        108         46         86        109         32          5         84        104 
