Delay    PID    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst 
3          0         22         79         91        114         34        117         52         74         26          5 
0          1         20         88        112         15         10         36         49         28         87         92 
1          2         53         54        106         87         67         88         14         43         25         99 
2          3          9         22        113         70        113         90         94         77         26         47 
4          4         53        101          2         80         28         75        109         19         27         99 
4          5         79         57         80         82        118        117         71         68          5         25 
0          6         94         83         42        106         56         42         31         86         61         76 
3          7         50        112         60         35        116         91         57          5         23         18 
4          8         25         30         26         17         92         16         47         80        104        104 
4          9         15         53         32         19        110         14          2          3         22          3 
3          10         96          7        112         24        110         35         65         57         47         25 
2          11         58         34         50        119         20        113         39         75          4         65 
2          12         32          4         31         90         95         58        106         97        114         69 
0          13         71         63         94          6         22         74          6        106        100         80 
4          14         38         35         68         52        101          9         46         44         83        107 
1          15         45         78          9         26         95         99         22         54         15         75 
3          16         76         40         17         25         38         52        117         86         29         41 
2          17        118        109         19         24          8         38         71         96         69        107 
3          18         48         85         77         42         95          6         58         16         86         88 
3          19         12         88         79         85         64        114         86         84         83         13 
1          20         61         21         18         44         74        117         34          6         25          6 
3          21          8          5          8         96         30         78         21        110         27        118 
4          22         30          5         16        109         22         88         78         89         23         81 
2          23         51         66        118         57         41        111          9         60         23         74 
